name,bool
student882,neg
student883,neg
student884,neg
student886,neg
student889,neg
student89,neg
student892,neg
student898,neg
student899,neg
student900,neg
student903,neg
student907,neg
student911,neg
student912,neg
student914,neg
student917,neg
student919,neg
student921,neg
student922,neg
student925,neg
student929,neg
student930,neg
student931,neg
student933,neg
student934,neg
student938,neg
student939,neg
student941,neg
student944,neg
student951,neg
student954,neg
student957,neg
student960,neg
student961,neg
student964,neg
student965,neg
student966,neg
student971,neg
student973,neg
student974,neg
student978,neg
student979,neg
student98,neg
student980,neg
student982,neg
student986,neg
student988,neg
student991,neg
student995,neg
student997,neg
student1,pos
student100,pos
student1000,pos
student102,pos
student104,pos
student105,pos
student106,pos
student108,pos
student109,pos
student11,pos
student112,pos
student114,pos
student117,pos
student118,pos
student119,pos
student12,pos
student120,pos
student121,pos
student122,pos
student125,pos
student126,pos
student127,pos
student128,pos
student129,pos
student13,pos
student130,pos
student133,pos
student134,pos
student135,pos
student136,pos
student138,pos
student139,pos
student140,pos
student142,pos
student143,pos
student145,pos
student147,pos
student148,pos
student15,pos
student150,pos
student151,pos
student152,pos
student153,pos
student154,pos
student155,pos
student156,pos
student157,pos
student158,pos
student159,pos
student162,pos
student163,pos
student164,pos
student165,pos
student167,pos
student168,pos
student169,pos
student17,pos
student170,pos
student171,pos
student172,pos
student173,pos
student174,pos
student175,pos
student178,pos
student179,pos
student181,pos
student183,pos
student184,pos
student189,pos
student19,pos
student191,pos
student193,pos
student194,pos
student195,pos
student196,pos
student197,pos
student198,pos
student199,pos
student2,pos
student203,pos
student204,pos
student207,pos
student208,pos
student209,pos
student21,pos
student210,pos
student211,pos
student213,pos
student214,pos
student216,pos
student217,pos
student219,pos
student22,pos
student220,pos
student222,pos
student224,pos
student225,pos
student226,pos
student227,pos
student228,pos
student229,pos
student23,pos
student231,pos
student232,pos
student233,pos
student234,pos
student235,pos
student237,pos
student238,pos
student24,pos
student241,pos
student242,pos
student244,pos
student246,pos
student247,pos
student248,pos
student250,pos
student253,pos
student255,pos
student257,pos
student26,pos
student260,pos
student261,pos
student262,pos
student263,pos
student267,pos
student269,pos
student270,pos
student271,pos
student272,pos
student273,pos
student274,pos
student275,pos
student279,pos
student28,pos
student280,pos
student281,pos
student282,pos
student283,pos
student284,pos
student285,pos
student286,pos
student288,pos
student291,pos
student293,pos
student294,pos
student295,pos
student296,pos
student297,pos
student30,pos
student300,pos
student301,pos
student302,pos
student304,pos
student305,pos
student306,pos
student308,pos
student309,pos
student31,pos
student313,pos
student314,pos
student315,pos
student316,pos
student317,pos
student318,pos
student32,pos
student322,pos
student323,pos
student324,pos
student328,pos
student329,pos
student33,pos
student330,pos
student331,pos
student333,pos
student334,pos
student336,pos
student337,pos
student338,pos
student339,pos
student340,pos
student342,pos
student346,pos
student347,pos
student349,pos
student350,pos
student351,pos
student352,pos
student354,pos
student359,pos
student361,pos
student364,pos
student367,pos
student368,pos
student369,pos
student37,pos
student370,pos
student371,pos
student372,pos
student373,pos
student376,pos
student377,pos
student378,pos
student380,pos
student382,pos
student384,pos
student385,pos
student386,pos
student388,pos
student389,pos
student39,pos
student391,pos
student395,pos
student396,pos
student397,pos
student399,pos
student4,pos
student40,pos
student400,pos
student401,pos
student403,pos
student404,pos
student405,pos
student406,pos
student407,pos
student409,pos
student41,pos
student410,pos
student411,pos
student412,pos
student414,pos
student415,pos
student416,pos
student417,pos
student42,pos
student420,pos
student421,pos
student422,pos
student423,pos
student425,pos
student428,pos
student429,pos
student43,pos
student430,pos
student431,pos
student432,pos
student433,pos
student436,pos
student438,pos
student439,pos
student440,pos
student441,pos
student442,pos
student443,pos
student444,pos
student446,pos
student447,pos
student448,pos
student45,pos
student450,pos
student452,pos
student458,pos
student459,pos
student46,pos
student465,pos
student467,pos
student468,pos
student470,pos
student472,pos
student473,pos
student474,pos
student475,pos
student476,pos
student477,pos
student479,pos
student48,pos
student480,pos
student481,pos
student485,pos
student486,pos
student488,pos
student49,pos
student490,pos
student491,pos
student492,pos
student493,pos
student494,pos
student495,pos
student496,pos
student497,pos
student498,pos
student50,pos
student500,pos
student502,pos
student503,pos
student504,pos
student505,pos
student508,pos
student51,pos
student511,pos
student512,pos
student515,pos
student517,pos
student519,pos
student52,pos
student522,pos
student523,pos
student526,pos
student527,pos
student529,pos
student530,pos
student531,pos
student533,pos
student534,pos
student536,pos
student538,pos
student539,pos
student541,pos
student544,pos
student546,pos
student547,pos
student550,pos
student553,pos
student554,pos
student555,pos
student556,pos
student559,pos
student560,pos
student562,pos
student565,pos
student567,pos
student568,pos
student569,pos
student57,pos
student570,pos
student572,pos
student573,pos
student575,pos
student576,pos
student578,pos
student579,pos
student580,pos
student581,pos
student583,pos
student584,pos
student585,pos
student587,pos
student588,pos
student589,pos
student59,pos
student590,pos
student591,pos
student592,pos
student593,pos
student594,pos
student595,pos
student596,pos
student598,pos
student599,pos
student6,pos
student600,pos
student601,pos
student602,pos
student603,pos
student605,pos
student606,pos
student607,pos
student608,pos
student609,pos
student610,pos
student611,pos
student612,pos
student613,pos
student614,pos
student615,pos
student616,pos
student617,pos
student619,pos
student62,pos
student620,pos
student621,pos
student624,pos
student625,pos
student626,pos
student627,pos
student628,pos
student629,pos
student63,pos
student631,pos
student632,pos
student634,pos
student635,pos
student638,pos
student64,pos
student641,pos
student642,pos
student645,pos
student646,pos
student647,pos
student649,pos
student65,pos
student650,pos
student651,pos
student652,pos
student655,pos
student656,pos
student658,pos
student659,pos
student66,pos
student660,pos
student661,pos
student662,pos
student663,pos
student664,pos
student665,pos
student666,pos
student667,pos
student668,pos
student670,pos
student672,pos
student673,pos
student674,pos
student676,pos
student677,pos
student678,pos
student679,pos
student68,pos
student680,pos
student682,pos
student684,pos
student686,pos
student688,pos
student689,pos
student69,pos
student690,pos
student696,pos
student697,pos
student698,pos
student699,pos
student7,pos
student70,pos
student700,pos
student701,pos
student702,pos
student705,pos
student709,pos
student710,pos
student712,pos
student714,pos
student717,pos
student719,pos
student72,pos
student721,pos
student723,pos
student724,pos
student727,pos
student729,pos
student73,pos
student732,pos
student733,pos
student734,pos
student735,pos
student738,pos
student739,pos
student740,pos
student741,pos
student742,pos
student743,pos
student744,pos
student745,pos
student746,pos
student747,pos
student748,pos
student749,pos
student75,pos
student750,pos
student751,pos
student753,pos
student754,pos
student757,pos
student758,pos
student760,pos
student761,pos
student762,pos
student764,pos
student765,pos
student768,pos
student769,pos
student77,pos
student770,pos
student773,pos
student774,pos
student775,pos
student776,pos
student778,pos
student779,pos
student780,pos
student781,pos
student783,pos
student785,pos
student787,pos
student788,pos
student789,pos
student79,pos
student790,pos
student792,pos
student794,pos
student795,pos
student797,pos
student798,pos
student8,pos
student80,pos
student800,pos
student803,pos
student804,pos
student805,pos
student806,pos
student807,pos
student808,pos
student809,pos
student81,pos
student812,pos
student814,pos
student817,pos
student82,pos
student820,pos
student821,pos
student823,pos
student825,pos
student827,pos
student828,pos
student83,pos
student830,pos
student831,pos
student832,pos
student835,pos
student836,pos
student838,pos
student84,pos
student840,pos
student841,pos
student842,pos
student846,pos
student847,pos
student849,pos
student850,pos
student852,pos
student854,pos
student855,pos
student856,pos
student858,pos
student859,pos
student863,pos
student864,pos
student866,pos
student867,pos
student868,pos
student870,pos
student871,pos
student874,pos
student877,pos
student879,pos
student881,pos
student885,pos
student887,pos
student888,pos
student890,pos
student891,pos
student893,pos
student894,pos
student895,pos
student896,pos
student897,pos
student9,pos
student90,pos
student901,pos
student902,pos
student904,pos
student905,pos
student906,pos
student908,pos
student909,pos
student91,pos
student910,pos
student913,pos
student915,pos
student916,pos
student918,pos
student92,pos
student920,pos
student923,pos
student924,pos
student926,pos
student927,pos
student928,pos
student93,pos
student932,pos
student935,pos
student936,pos
student937,pos
student94,pos
student940,pos
student942,pos
student943,pos
student945,pos
student946,pos
student947,pos
student948,pos
student949,pos
student95,pos
student950,pos
student952,pos
student953,pos
student955,pos
student956,pos
student958,pos
student959,pos
student96,pos
student962,pos
student963,pos
student967,pos
student968,pos
student969,pos
student97,pos
student970,pos
student972,pos
student975,pos
student976,pos
student977,pos
student981,pos
student983,pos
student984,pos
student985,pos
student987,pos
student989,pos
student99,pos
student990,pos
student992,pos
student993,pos
student994,pos
student996,pos
student998,pos
student999,pos
